epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,141.42,1.36361,2.13326,1.17116,0.59313,0.30769,0.37184,0.25072,1.56077,2.41084,1.36014,0.00183368,0.00183368,0.00183368
44,144.819,1.28668,2.11018,1.11277,0.52686,0.53846,0.35654,0.20173,1.83282,2.55202,1.52616,0.00182972,0.00182972,0.00182972
45,148.093,1.14204,1.94413,1.11964,0.54494,0.38462,0.32335,0.19108,1.8624,2.82174,1.53965,0.00182576,0.00182576,0.00182576
46,151.25,1.14199,1.82206,1.15727,0.39768,0.30769,0.25224,0.14508,2.07041,2.55544,1.69529,0.0018218,0.0018218,0.0018218
47,154.494,1.30627,1.90114,1.20711,0.2401,0.38462,0.23011,0.11155,2.0231,2.62855,1.81716,0.00181784,0.00181784,0.00181784
48,157.784,1.23395,1.76751,1.18153,0.45848,0.4563,0.33789,0.10375,1.80835,2.80214,1.7293,0.00181388,0.00181388,0.00181388
49,161.025,1.21351,1.83955,1.18684,0.48591,0.38462,0.29729,0.10895,2.02797,2.65639,1.86859,0.00180992,0.00180992,0.00180992
50,164.307,1.24361,1.79653,1.18892,0.64813,0.46154,0.4556,0.14017,2.12344,2.41525,1.94036,0.00180596,0.00180596,0.00180596
51,167.435,1.21849,1.61381,1.15497,0.76035,0.53846,0.57998,0.19816,2.11229,2.08277,1.8906,0.001802,0.001802,0.001802
52,170.678,1.1551,1.68298,1.13358,0.31553,0.61538,0.39441,0.17269,1.74173,2.99773,1.63974,0.00179804,0.00179804,0.00179804
53,173.876,1.13066,1.5245,1.09061,0.39495,0.45248,0.4258,0.19874,1.69872,3.29562,1.57303,0.00179408,0.00179408,0.00179408
54,177.085,1.218,1.51945,1.156,0.55551,0.30769,0.35143,0.15133,1.5652,4.34913,1.49863,0.00179012,0.00179012,0.00179012
55,180.231,1.21662,1.59292,1.13017,0.27065,0.61538,0.32199,0.11587,1.64876,4.15439,1.53615,0.00178616,0.00178616,0.00178616
56,183.405,1.1858,1.5692,1.12734,0.48365,0.50577,0.51375,0.2305,1.74899,2.91318,1.58853,0.0017822,0.0017822,0.0017822
57,186.601,1.19076,1.44258,1.14311,0.7922,0.38462,0.51563,0.23436,1.65083,2.32888,1.50835,0.00177824,0.00177824,0.00177824
58,189.764,1.14223,1.40802,1.12851,0.56196,0.53846,0.45986,0.18248,1.78299,2.70104,1.63362,0.00177428,0.00177428,0.00177428
59,192.894,1.11966,1.32802,1.11986,0.58544,0.46154,0.41259,0.1548,1.99245,2.77113,1.79761,0.00177032,0.00177032,0.00177032
60,196.115,1.02105,1.26083,1.07614,0.69228,0.52065,0.53404,0.28377,1.56523,2.25813,1.51757,0.00176636,0.00176636,0.00176636
61,199.299,1.10539,1.3438,1.10753,0.98217,0.53846,0.59568,0.34657,1.43588,1.87617,1.40298,0.0017624,0.0017624,0.0017624
62,202.432,1.11916,1.32615,1.14141,0.88252,0.58009,0.61537,0.37301,1.49004,1.82526,1.44619,0.00175844,0.00175844,0.00175844
63,205.695,1.08027,1.2831,1.13223,0.74089,0.53846,0.55568,0.27581,1.55311,2.13904,1.50895,0.00175448,0.00175448,0.00175448
64,208.842,1.09888,1.29701,1.13126,0.39869,0.46154,0.34247,0.18953,1.69128,2.70462,1.55588,0.00175052,0.00175052,0.00175052
65,212.018,1.12026,1.32665,1.11284,0.63454,0.53846,0.44604,0.23429,1.77137,2.16536,1.57828,0.00174656,0.00174656,0.00174656
66,215.276,1.06984,1.17418,1.05855,0.77623,0.53419,0.516,0.30862,1.85072,2.10575,1.68296,0.0017426,0.0017426,0.0017426
67,218.366,1.09751,1.12726,1.02889,0.74538,0.53846,0.54798,0.32075,1.90592,2.40347,1.63581,0.00173864,0.00173864,0.00173864
68,221.535,1.16547,1.13993,1.06458,0.80873,0.46154,0.49431,0.25713,1.9592,2.65242,1.61209,0.00173468,0.00173468,0.00173468
69,224.848,1.13484,1.16349,1.07321,0.85343,0.44955,0.51297,0.25591,1.74453,2.61073,1.58246,0.00173072,0.00173072,0.00173072
70,228.165,1.02754,1.05268,1.00499,0.55099,0.53846,0.45028,0.23213,1.70046,2.6427,1.55904,0.00172676,0.00172676,0.00172676
71,231.331,0.99443,1.07917,0.99511,0.65057,0.46154,0.43877,0.23781,1.70857,2.42956,1.52475,0.0017228,0.0017228,0.0017228
72,234.582,1.12874,1.17117,1.089,0.74261,0.46154,0.50376,0.26256,1.6966,2.36943,1.4965,0.00171884,0.00171884,0.00171884
73,237.784,0.99032,1.04304,1.02021,0.81322,0.46154,0.51114,0.23174,1.72942,2.14403,1.52465,0.00171488,0.00171488,0.00171488
74,240.889,0.99919,1.05073,1.05574,0.43847,0.53846,0.41458,0.21482,1.59294,2.24762,1.46346,0.00171092,0.00171092,0.00171092
75,244.089,0.98186,1.08962,1.0416,0.33799,0.69231,0.42236,0.23771,1.45401,2.35974,1.33855,0.00170696,0.00170696,0.00170696
76,247.356,1.05988,1.02894,1.05254,0.38481,0.46154,0.37111,0.19699,1.62145,2.26925,1.49366,0.001703,0.001703,0.001703
77,250.553,1.00463,1.02306,1.05995,0.3538,0.46154,0.39482,0.17839,1.68779,2.51522,1.50432,0.00169904,0.00169904,0.00169904
78,253.802,1.00014,0.99055,1.04091,0.34864,0.38462,0.34718,0.16695,1.6891,2.94469,1.46188,0.00169508,0.00169508,0.00169508
79,257.14,0.99576,0.9644,1.02097,0.43283,0.46154,0.38656,0.15843,1.44169,2.88932,1.34721,0.00169112,0.00169112,0.00169112
80,260.463,0.97968,1.00232,1.00559,0.51882,0.53846,0.46848,0.19751,1.59766,2.11242,1.5348,0.00168716,0.00168716,0.00168716
81,263.665,1.05562,0.94393,1.05772,0.58588,0.46154,0.45025,0.18342,1.61714,2.54782,1.57344,0.0016832,0.0016832,0.0016832
82,266.863,1.04847,0.96205,1.03554,0.3912,0.38462,0.27449,0.14476,1.82207,2.71641,1.77,0.00167924,0.00167924,0.00167924
83,270.014,1.01235,1.02164,1.05269,0.57257,0.38462,0.40423,0.15753,1.95347,2.68143,1.88722,0.00167528,0.00167528,0.00167528
84,273.149,0.94149,0.93507,1.01489,0.70477,0.46154,0.52601,0.21613,1.99211,2.19996,1.92503,0.00167132,0.00167132,0.00167132
85,276.309,1.05191,0.98761,1.05954,0.71296,0.46154,0.552,0.2036,2.0015,2.19351,1.91628,0.00166736,0.00166736,0.00166736
