epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,134.658,1.25352,1.68637,1.13106,0.39087,0.61538,0.43327,0.20613,2.02153,2.1799,1.904,0.00183368,0.00183368,0.00183368
44,137.796,1.26192,1.71966,1.12515,0.86664,0.61538,0.67996,0.20201,1.83749,3.2948,1.66484,0.00182972,0.00182972,0.00182972
45,140.998,1.20523,1.78389,1.13989,0.43121,0.30769,0.32042,0.15825,1.67675,2.58412,1.48672,0.00182576,0.00182576,0.00182576
46,144.168,1.17091,1.75281,1.11269,0.29373,0.30769,0.28332,0.11328,1.9316,3.06845,1.66105,0.0018218,0.0018218,0.0018218
47,147.209,1.19861,1.7419,1.15224,0.3611,0.46154,0.3483,0.15167,1.91909,2.79869,1.6818,0.00181784,0.00181784,0.00181784
48,150.202,1.14271,1.438,1.09419,0.59114,0.30769,0.32412,0.13802,1.95424,2.94391,1.70001,0.00181388,0.00181388,0.00181388
49,153.256,1.10744,1.53538,1.08393,0.37387,0.38462,0.29741,0.15073,2.00394,2.84958,1.7267,0.00180992,0.00180992,0.00180992
50,156.194,1.08044,1.42278,1.06394,0.59393,0.46154,0.39759,0.19751,2.06187,2.80424,1.82013,0.00180596,0.00180596,0.00180596
51,159.192,1.13428,1.26746,1.11442,0.74692,0.4549,0.43755,0.19138,2.06105,2.47373,1.98184,0.001802,0.001802,0.001802
52,162.12,1.14953,1.33272,1.14707,0.63064,0.53846,0.5699,0.22186,1.97744,2.38152,2.00002,0.00179804,0.00179804,0.00179804
53,165.178,1.20839,1.34251,1.1167,0.48604,0.38462,0.3991,0.14378,2.04089,2.48191,2.0675,0.00179408,0.00179408,0.00179408
54,168.162,1.09971,1.31549,1.08307,0.73296,0.46154,0.47752,0.15386,2.09063,2.56904,2.05853,0.00179012,0.00179012,0.00179012
55,171.1,1.14343,1.39886,1.0988,0.67604,0.53846,0.47276,0.1337,2.06186,2.75966,1.99714,0.00178616,0.00178616,0.00178616
56,174.303,1.21375,1.27301,1.13442,0.82944,0.37562,0.4373,0.13046,2.05275,2.8215,2.00474,0.0017822,0.0017822,0.0017822
57,177.259,1.1717,1.25179,1.11671,0.86768,0.30769,0.38168,0.09516,1.95291,3.01916,1.96111,0.00177824,0.00177824,0.00177824
58,180.172,1.14761,1.27257,1.12195,0.56046,0.23077,0.20484,0.05189,1.79529,3.37404,1.83306,0.00177428,0.00177428,0.00177428
59,183.069,1.07319,1.18119,1.07919,0.70408,0.46154,0.4922,0.16542,2.00981,2.82281,1.89396,0.00177032,0.00177032,0.00177032
60,186.018,1.02525,1.10139,1.03961,0.57437,0.46154,0.43269,0.19131,2.32824,2.18906,2.15618,0.00176636,0.00176636,0.00176636
61,189.01,1.09817,1.14549,1.08666,0.36583,0.38462,0.31864,0.11509,2.38114,2.26683,2.23982,0.0017624,0.0017624,0.0017624
62,191.982,1.01519,1.11592,1.07287,0.62332,0.3822,0.40622,0.11959,2.49522,2.22117,2.29238,0.00175844,0.00175844,0.00175844
63,195.005,1.06706,1.15919,1.06033,0.43106,0.40929,0.3357,0.12387,2.36357,2.21656,2.1133,0.00175448,0.00175448,0.00175448
64,197.966,1.07615,1.04818,1.07289,0.33856,0.53846,0.24596,0.11488,2.29741,2.14575,2.04809,0.00175052,0.00175052,0.00175052
65,200.909,1.0518,1.05132,1.04711,0.37879,0.53846,0.33691,0.18033,2.30819,2.04697,2.08856,0.00174656,0.00174656,0.00174656
66,203.826,1.05101,0.94733,1.03733,0.60243,0.46154,0.47842,0.24043,2.48776,1.84756,2.16321,0.0017426,0.0017426,0.0017426
67,206.928,1.0802,1.0056,1.04892,0.83,0.61538,0.62265,0.23306,2.24582,1.99406,2.04502,0.00173864,0.00173864,0.00173864
68,210.142,1.08893,1.0485,1.0492,0.65411,0.61538,0.5602,0.204,2.01198,2.08216,2.06548,0.00173468,0.00173468,0.00173468
69,212.974,1.06471,1.00088,1.05457,0.62283,0.50984,0.43809,0.14575,2.16196,2.4181,1.99777,0.00173072,0.00173072,0.00173072
70,215.974,1.04254,0.97801,1.00901,0.52579,0.53846,0.38712,0.12858,2.09688,2.49562,1.83387,0.00172676,0.00172676,0.00172676
71,218.958,1.01712,0.98235,0.96549,0.72263,0.46154,0.5559,0.19828,1.98115,2.244,1.78354,0.0017228,0.0017228,0.0017228
72,221.943,1.09403,1.05825,1.05749,0.44263,0.38462,0.3573,0.17759,1.90584,2.05074,1.74212,0.00171884,0.00171884,0.00171884
73,224.936,0.99787,1.01157,1.00176,0.49948,0.53846,0.46655,0.20193,1.90302,2.01589,1.7753,0.00171488,0.00171488,0.00171488
74,227.94,0.94631,0.91969,0.99721,0.33458,0.46154,0.43193,0.20309,1.9081,2.0578,1.71618,0.00171092,0.00171092,0.00171092
75,230.87,0.99816,0.91465,1.00167,0.51834,0.46154,0.49886,0.24587,1.90764,1.82146,1.73863,0.00170696,0.00170696,0.00170696
76,233.865,1.03138,0.94976,0.9918,0.67514,0.46154,0.54522,0.21392,2.26172,1.73895,2.13277,0.001703,0.001703,0.001703
